,season,team,wp,BPI,ts,tb,efgp,atr,RPI_rank,tp
0,2003.0,1102.0,0.42857142857142855,2.1666666666666714,167.0,50.0,71.32596685082872,1.1375,202.0,1603.0
1,2003.0,1103.0,0.48148148148148145,0.9423076923077076,196.0,63.0,68.4634974533107,1.2052785923753666,189.0,2127.0
2,2003.0,1104.0,0.6071428571428571,1.8609625668449326,185.0,106.0,72.70992366412213,0.9112903225806451,30.0,1940.0
3,2003.0,1105.0,0.2692307692307692,0.7631578947368354,242.0,54.0,54.339762611275965,0.7793814432989691,309.0,1866.0
4,2003.0,1106.0,0.4642857142857143,0.5589743589743605,234.0,88.0,63.376068376068375,0.6855345911949685,225.0,1781.0
5,2003.0,1107.0,0.25,-4.952380952380963,192.0,57.0,56.241032998565274,0.9488636363636364,295.0,1846.0
6,2003.0,1108.0,0.42424242424242425,-2.278195488721792,270.0,116.0,60.03963011889035,0.7504105090311987,255.0,2280.0
7,2003.0,1110.0,0.5333333333333333,3.745535714285708,192.0,52.0,71.12736660929431,1.081012658227848,165.0,1991.0
8,2003.0,1111.0,0.6153846153846154,-1.7687499999999972,256.0,120.0,72.38547968885047,0.9406175771971497,129.0,2165.0
9,2003.0,1112.0,0.8928571428571429,6.473333333333329,237.0,118.0,96.19289340101524,1.1932367149758454,1.0,2386.0
10,2003.0,1113.0,0.6206896551724138,3.4217171717171766,151.0,123.0,72.64150943396226,1.1108374384236452,32.0,2203.0
11,2003.0,1114.0,0.5714285714285714,-1.5416666666666856,185.0,66.0,69.93583868011,0.7203579418344519,149.0,1961.0
12,2003.0,1115.0,0.14285714285714285,-9.5,223.0,77.0,43.46733668341709,0.5327102803738317,304.0,1526.0
13,2003.0,1116.0,0.32142857142857145,0.04970760233919691,181.0,99.0,54.332552693208434,0.588865096359743,99.0,1726.0
14,2003.0,1117.0,0.4230769230769231,3.3151515151515127,186.0,43.0,65.12681159420289,0.8985507246376812,235.0,1849.0
15,2003.0,1119.0,0.12,-6.401515151515149,139.0,40.0,50.088888888888896,0.6751152073732719,322.0,1342.0
16,2003.0,1120.0,0.6333333333333333,0.3062200956937744,241.0,149.0,76.24777183600713,0.8427672955974843,42.0,2103.0
17,2003.0,1122.0,0.7407407407407407,-3.432142857142864,190.0,126.0,81.29251700680273,0.8807785888077859,58.0,1882.0
18,2003.0,1123.0,0.43333333333333335,-1.1719457013574726,156.0,66.0,61.67385057471264,0.8181818181818182,126.0,2199.0
19,2003.0,1124.0,0.5,0.6071428571428612,233.0,83.0,68.760907504363,1.0698924731182795,156.0,1932.0
20,2003.0,1125.0,0.5714285714285714,0.1458333333333428,254.0,48.0,74.17188898836167,0.9978902953586498,113.0,2029.0
21,2003.0,1126.0,0.26666666666666666,-3.005681818181813,248.0,54.0,52.85132382892057,0.6911764705882353,300.0,1941.0
22,2003.0,1127.0,0.5185185185185185,-0.1098901098901166,174.0,175.0,68.09954751131222,0.8427518427518428,224.0,1797.0
23,2003.0,1128.0,0.6538461538461539,0.1633986928104605,205.0,103.0,78.71345029239765,0.855036855036855,185.0,1764.0
24,2003.0,1129.0,0.42857142857142855,0.0833333333333286,186.0,107.0,59.775374376039935,0.8089330024813896,193.0,1845.0
25,2003.0,1130.0,0.6206896551724138,0.4393939393939519,203.0,84.0,74.03132728771641,1.2739018087855296,37.0,2310.0
